Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
1,Damico,Dillon,13.2,6,0,59,243,0,0,0,0,0,0,11,7,4,9,15,2,0,2.049,1.463,14,0,1,1,5,83.33,0,0.224,17.8,4.119,37.29,8,2,2,2,2.678,62.55,59.32,80,2.86,17.14,0.659,6,2,1,0,13.17,0.254,1.667,74.29,25.71,0.538,0,17.14,51.43,31.43,0.314,0.174
2,Lopez,Robbie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Salgado - Rush,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,McCray,Brandon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Singh,Matthew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Klee,JC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Salazar,Aidan,4.2,3,0,29,92,1,1,0,0,0,0,9,7,2,3,3,1,1,3,2.571,6,0,0,1,2,66.67,2,0.375,19.7,3.172,51.72,2,0,0,1,4.115,58.7,68.97,50,10,35,0.643,3,1,0,0,8.7,0.103,1,72.73,27.27,0.8,0,18.18,31.82,47.62,0.429,0.308
7,Chacon,Jesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Edwards,Zach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cobine,Bobby,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sanders,Marcus,8,3,1,37,158,0,0,0,0,0,0,6,4,4,6,13,6,3,3.5,1.5,9,0,1,1,1,50,2,0.214,19.8,4.27,27.03,5,2,1,0,2.815,55.7,54.05,70,15,10,0.75,3,2,2,1,11.39,0.351,2.167,66.67,33.33,3.5,0,20,13.33,66.67,0.4,0.222
11,Baylor,Cody,2,2,0,12,41,0,1,0,0,0,0,1,4,4,2,1,0,3,14,1.5,2,0,0,0,1,100,2,0.167,20.5,3.417,50,0,0,0,1,8.66,53.66,58.33,57.14,0,14.29,1,0,1,0,0,7.32,0.083,0.5,100,0,0,0,0,83.33,16.67,0.167,0
12,Neuner,Ethan,4.2,6,0,51,213,0,2,0,0,0,0,10,23,22,16,3,1,13,33,5.571,7,0,0,0,10,100,6,0.476,45.6,4.176,19.61,2,0,0,0,17.99,38.97,35.29,16.67,27.78,38.89,3.429,0,12,3,3,4.69,0.059,0.188,78.95,21.05,0.6,0,15.79,47.37,36.84,0.526,0.526
14,Chacon,Alex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gifford,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Talavera,Issac,11.1,4,2,68,271,0,0,0,0,0,0,5,16,14,19,17,8,8,8.647,2.118,15,0,0,1,7,87.5,9,0.125,23.9,3.985,20.59,8,4,2,2,6.325,47.23,45.59,58.06,16.13,16.13,1.676,3,7,2,1,8.86,0.25,0.895,58.33,41.67,0.667,0,16.67,29.17,54.17,0.208,0.25
17,Dominic,Jace,15.2,6,5,77,302,0,2,0,0,0,0,17,15,14,9,15,6,5,6.255,1.66,14,0,0,0,5,100,1,0.274,19.3,3.922,37.66,9,7,6,5,3.571,60.26,61.04,74.47,6.38,14.89,0.574,9,5,1,1,10.26,0.195,1.667,70.83,29.17,1.6,0,22.92,20.83,55.32,0.362,0.4
18,Rodas,Issac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Barnes,Lucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Gledhill,Garren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Silvers,Ryan,9,3,3,38,140,1,0,0,0,0,0,9,3,2,5,11,4,1,1.556,1.556,8,0,2,2,1,33.33,2,0.281,15.6,3.684,47.37,4,3,1,3,2.446,65.71,76.32,58.62,6.9,31.03,0.556,4,1,1,0,17.14,0.289,2.2,76.19,23.81,2.667,0,23.81,9.52,66.67,0.429,0.167
24,Willis,Trey,11,5,0,48,172,0,0,0,0,0,0,6,7,1,6,6,1,2,0.636,1.091,5,0,0,0,5,100,1,0.15,15.6,3.583,45.83,7,4,3,6,3.976,57.56,56.25,77.78,3.7,14.81,0.545,8,1,2,1,6.4,0.125,1,76.47,23.53,0.583,0,5.88,35.29,57.58,0.176,0
25,Koehler,Nate,8,5,3,53,223,0,1,0,0,0,0,12,15,12,16,5,2,1,10.5,3.5,11,0,0,1,6,85.71,4,0.333,27.9,4.208,32.08,3,0,0,1,7.435,48.43,52.83,50,25,25,2,3,4,3,0,6.73,0.094,0.313,74.19,25.81,0.556,0,16.13,35.48,46.67,0.387,0.318
27,Spindler,Connor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Gutierrez,CJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Logsdon,Eric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Mcclleand,Mac,1,1,0,4,13,0,0,0,0,0,0,1,1,1,1,0,0,1,7,2,0,1,1,0,0,0,0,0.5,13,3.25,50,0,0,0,1,8.38,38.46,50,0,0,50,1,0,0,0,0,23.08,0,0,100,0,0,0,0,50,50,0.5,0
5,Gonzalez,Paul,2,2,0,11,62,0,0,0,0,0,0,2,3,1,3,2,2,0,3.5,2.5,2,0,0,0,1,100,2,0.25,31,5.636,18.18,0,0,0,0,5.055,51.61,100,54.55,18.18,18.18,1.5,0,1,1,1,9.68,0.182,0.667,50,50,0,0,16.67,0,83.33,0.333,0
6,Collins-Brown,Nixon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Boyce,Owen,3,3,0,15,65,1,0,1,1,0,100,1,2,1,3,4,0,2,2.333,1.333,4,0,0,0,2,100,0,0.1,21.7,4.333,20,0,0,0,1,4.81,55.38,53.33,75,0,12.5,1,0,1,2,1,6.15,0.267,1.333,66.67,33.33,2,0,33.33,0,66.67,0.167,0
8,Lombardo,Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Claman,Taylor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rossetti,Joey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ruiz,Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Carrillo,Preston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Aguilar,Chris,1.2,3,0,15,65,0,0,0,0,0,0,4,10,2,3,2,0,3,8.4,4.2,1,0,0,0,2,100,2,0.444,39,4.333,33.33,1,0,0,0,10.09,46.15,60,44.44,11.11,33.33,1.8,0,3,1,1,7.69,0.133,0.667,42.86,57.14,0,0,57.14,14.29,28.57,0.571,0.5
18,Silva,Jason,5,4,1,25,109,0,1,0,0,0,0,1,4,4,3,11,5,6,5.6,0.8,6,0,0,0,0,0,6,0.063,21.8,4.36,24,2,2,2,1,3.396,51.38,44,81.82,9.09,0,0.6,2,1,1,0,14.68,0.44,3.667,80,20,1,0,20,40,40,0.2,0.111
20,Martinez,Abel,4,3,0,26,78,0,0,0,0,0,0,10,8,7,2,2,0,0,12.25,3,6,0,0,0,3,100,0,0.417,19.5,3,65.38,2,0,0,1,3.48,66.67,61.54,56.25,6.25,37.5,0.5,2,2,1,1,15.38,0.077,1,68.18,31.82,0.667,0,31.82,40.91,27.27,0.455,0.4
21,Clayman,Chance,1,1,0,6,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0.4,13,2.167,83.33,1,1,0,1,5.79,61.54,100,50,16.67,33.33,1,0,0,0,0,0,0,0,80,20,0,0,0,60,40,0.4,0.5
22,Hopkins,Tanner,16,3,3,68,263,2,0,0,0,0,0,14,5,5,7,19,8,1,2.188,1.313,15,0,0,2,3,60,2,0.233,16.4,3.868,41.18,11,7,6,8,2.084,61.22,61.76,66.67,2.38,28.57,0.438,10,2,2,1,8.37,0.279,2.714,80.49,19.51,0.643,0,14.63,36.59,48.78,0.341,0.263
23,Campos,Anthony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Jackson,Ethan,1,1,1,5,20,0,0,0,0,0,0,0,2,2,3,1,0,0,14,3,0,0,0,0,2,100,1,0,20,4,20,0,0,0,0,8.94,30,40,100,0,0,3,0,2,1,1,10,0.2,0.333,100,0,0,0,0,0,100,0,0
25,Gonzalez,Julian,3,4,0,14,66,0,0,0,0,0,0,0,2,2,4,5,0,2,4.667,1.333,2,0,0,0,0,0,2,0,22,4.714,14.29,2,2,2,1,4.997,46.97,42.86,83.33,0,0,1.333,2,1,1,1,16.67,0.357,1.25,100,0,2,0,0,33.33,66.67,0,0
33,Bonenfant,Michael,14,3,3,73,262,0,2,0,0,0,0,18,18,10,7,19,5,4,5,1.786,13,0,0,2,4,66.67,1,0.295,18.7,3.589,45.21,9,6,2,7,2.48,63.74,63.01,58.7,10.87,26.09,0.5,9,3,0,0,13.74,0.26,2.714,72.73,27.27,0.231,0,27.27,38.64,32.56,0.419,0.35
34,Williams,James,25,5,5,125,446,0,5,0,0,0,0,32,20,16,16,24,4,4,4.48,1.92,30,0,0,2,6,75,8,0.308,17.8,3.568,46.4,13,8,3,8,3.323,62.11,64,66.25,2.5,30,0.64,14,3,4,2,13,0.192,1.5,66.67,33.33,1.222,0,19.75,24.69,55,0.395,0.289
35,Sanchez,Samuel,8,4,1,37,149,1,0,1,1,0,100,7,4,3,4,16,5,1,2.625,1.375,9,0,0,1,4,80,3,0.219,18.6,4.027,37.84,5,3,2,4,0.759,65.77,56.76,80.95,9.52,9.52,0.5,6,1,0,0,20.81,0.432,4,62.5,37.5,0.5,0,25,25,50,0.438,0.154
1,Hutchinson,Gino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nunley,Nate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Loving,Josh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Nelson,James,2.1,3,0,9,36,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,2,100,0,0,15.4,4,22.22,1,0,0,0,4.55,63.89,88.89,75,0,0,0,1,0,0,0,2.78,0.111,0,100,0,0,0,0,100,0,0,0
6,Keller,Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carroll,Calvin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Fallentine,Brad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Harries,Tyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ely,Nicholas,5.1,3,0,23,84,0,0,0,0,0,0,3,2,1,3,7,4,1,1.313,1.125,6,0,0,0,0,0,2,0.176,15.8,3.652,52.17,2,1,0,1,2.478,63.1,56.52,69.23,7.69,15.38,0.563,3,2,1,1,13.1,0.304,2.333,66.67,33.33,1,0,16.67,25,58.33,0.25,0.111
13,Fuoco,Owen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nunez,Isaiah,7,4,1,45,185,0,1,0,1,1,0,14,16,13,10,8,3,1,13,3.429,5,0,0,1,8,88.89,2,0.412,26.4,4.111,37.78,3,1,1,2,4.95,54.59,51.11,52.17,17.39,26.09,1.429,4,9,3,3,8.11,0.178,0.8,61.54,38.46,0.375,0,19.23,42.31,38.46,0.538,0.467
15,Robinson,Max,16.1,5,3,86,341,1,1,0,0,0,0,22,18,18,9,17,6,9,7.714,1.898,21,1,1,1,6,85.71,2,0.333,20.9,3.965,34.88,8,4,3,3,3.941,57.48,48.84,64.29,2.38,21.43,0.551,8,3,2,1,11.44,0.198,1.889,62.75,37.25,0.35,0,31.37,37.25,31.37,0.431,0.323
16,Brownyard,Nicholas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Pasillas,Andres,11,2,2,49,189,1,0,0,0,0,0,7,5,5,9,12,3,2,3.182,1.455,11,0,0,1,3,75,2,0.184,17.2,3.857,38.78,7,6,2,2,3.575,57.67,51.02,76,4,16,0.818,3,2,3,2,12.7,0.245,1.333,76.92,23.08,1,0,15.38,38.46,46.15,0.269,0.231
21,Motylewski,Mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Toms,Jackson,9.2,5,1,50,207,1,2,1,1,0,100,11,15,9,8,8,3,4,6.517,1.966,5,0,3,0,3,100,2,0.297,21.4,4.14,28,6,4,0,2,4.735,54.11,42,66.67,0,19.05,0.828,5,5,1,1,6.76,0.16,1,80,20,0.364,0,10,46.67,43.33,0.367,0.267
23,Sema,Alan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Culver,Luke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Wysong,Payden,15,5,2,79,280,1,0,0,0,0,0,22,15,7,10,14,7,4,3.267,2.133,17,0,0,1,4,80,2,0.338,18.7,3.544,49.37,8,6,3,4,3.723,59.64,58.23,60.87,4.35,28.26,0.667,7,3,4,1,10,0.177,1.4,78.85,21.15,0.238,0,17.31,51.92,28,0.431,0.355
30,Diaz,Jose,5,1,1,23,85,0,0,0,0,0,0,2,1,1,5,6,4,2,1.4,1.4,7,1,0,0,1,100,1,0.125,17,3.696,47.83,4,1,0,2,4.39,54.12,56.52,69.23,15.38,7.69,1,2,1,1,0,10.59,0.261,1.2,80,20,1,0,20,40,40,0.2,0.143
31,Sillas,Anthony,11,3,2,43,183,2,0,0,0,0,0,4,2,2,4,14,4,1,1.273,0.727,8,0,0,0,4,100,1,0.105,16.6,4.256,34.88,10,7,6,3,1.794,60.66,48.84,85.71,0,9.52,0.364,9,2,1,1,18.58,0.326,3.5,62.5,37.5,0.583,0,16.67,45.83,37.5,0.167,0
32,Hudson,,4,1,1,16,69,1,0,0,0,0,0,1,0,0,3,3,1,0,0,1,4,0,0,0,1,100,0,0.077,17.3,4.313,25,4,4,1,1,3.62,63.77,56.25,77.78,22.22,0,0.75,2,0,0,0,8.7,0.188,1,90,10,0.5,0,10,60,30,0.1,0
1,Bejerano,Xavier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lee,Hayata,11,5,1,62,199,0,1,1,1,0,100,14,16,13,7,8,3,7,8.273,1.909,9,0,0,1,6,85.71,0,0.292,18.1,3.21,48.39,8,3,1,4,5.936,59.8,61.29,65.79,5.26,26.32,0.636,6,4,1,1,10.55,0.129,1.143,67.5,32.5,1,1,17.5,35,47.5,0.333,0.261
4,Hanasaki,Kai,10.2,6,0,40,169,1,0,1,2,1,50,6,2,0,1,17,5,1,0,0.656,13,0,0,0,1,100,1,0.158,15.8,4.225,35,6,5,5,2,0.45,63.31,57.5,82.61,0,13.04,0.094,8,0,0,0,12.43,0.425,17,80.95,19.05,1.8,0,14.29,28.57,57.14,0.286,0
5,Taylor III,James,0.1,1,0,6,31,0,0,0,0,0,0,1,3,3,4,0,0,0,63,15,0,0,0,0,0,0,0,0.5,93,5.167,16.67,0,0,0,0,34.28,35.48,16.67,0,100,0,12,0,2,1,1,9.68,0,0,50,50,0,0,50,50,0,0.5,1
6,Loureiro,Parker,2,2,0,13,51,0,0,0,0,0,0,2,3,3,3,2,2,2,10.5,2.5,4,0,0,0,1,100,1,0.25,25.5,3.923,38.46,0,0,0,0,7.645,43.14,38.46,60,0,20,1.5,1,1,1,1,5.88,0.154,0.667,100,0,0,0,0,83.33,16.67,0.333,0
7,Cord,Everett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Stoner,Jimmy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brown,Catch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Stidham,Sawyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Phipps,Ty,6.2,6,0,37,124,0,0,0,0,0,0,9,9,7,6,5,1,1,7.35,2.25,8,0,0,0,0,0,1,0.31,18.6,3.351,51.35,2,2,1,3,5.909,54.84,51.35,73.68,5.26,21.05,0.9,5,4,2,1,8.87,0.135,0.833,72,28,1.6,1,20,28,52,0.333,0.273
12,Oliphant,Mason,1,1,0,6,28,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0.4,28,4.667,33.33,1,0,0,0,5.79,53.57,33.33,50,0,50,1,0,0,0,0,3.57,0,0,60,40,0,0,20,60,20,0.4,0.5
13,Lopez,Christopher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
