,No,Name,Team,G,PA_x,AB_x,R_x,H_x,1B_x,2B_x,3B_x,HR_x,RBI_x,HBP_x,BB_x,SO_x,SacB,SacF,SB_x,CS_x,AVG_x,OBP_x,SLG_x,OPS_x,Number,GP,K-L,SAC,SF,ROE,FC,SB%,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
109,6,Kenny Booth,Bombers,14,26,23,0,1,1,0,0,0,1,1,2,13,0,0,3,0,0.043,0.154,0.043,0.197,6,13,3,0,0,0,0,100.0,0,8,34.78,11.5,0.167,40.0,0,0.0,62.5,37.5,0.0,0.0,12,0,0,0,94,4.087,5,21.74,6,26.09,0.0,0,0,0
110,1,Kenny Vo,Bombers,12,26,21,1,3,3,0,0,0,2,0,5,14,0,0,0,0,0.143,0.308,0.143,0.451,1,10,6,0,0,0,0,0.0,0,7,31.82,4.4,0.417,29.41,1,0.0,40.0,60.0,0.4,0.333,4,1,0,2,84,3.818,2,9.09,4,18.18,0.0,0,0,0
111,8,Kevin Sanchez,A's,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,1,0,0,1,0,0,100.0,0,4,100.0,0.0,0.0,100.0,3,50.0,25.0,25.0,0.5,0.0,0,0,0,2,8,2.0,0,0.0,0,0.0,0.0,0,0,0
112,11,Kirk Felikian,Rush,15,29,22,9,6,5,1,0,0,2,1,6,5,0,0,10,0,0.273,0.448,0.318,0.766,11,10,1,0,0,1,1,100.0,2,9,60.0,3.8,2.0,80.0,2,12.5,37.5,50.0,0.375,0.0,5,0,1,4,57,3.8,1,6.67,3,20.0,0.0,0,0,0
113,7,Korbin Fickett,A's,14,38,28,3,6,4,1,1,0,9,1,8,4,0,1,0,0,0.214,0.395,0.321,0.716,7,12,2,0,1,2,1,0.0,0,16,47.06,5.7,1.5,84.62,5,21.74,43.48,34.78,0.261,0.231,13,1,2,9,122,3.588,2,5.88,7,20.59,0.0,0,0,0
114,26,Kyle England,Blue Sox,10,28,23,5,3,2,1,0,0,2,2,3,11,0,0,0,0,0.13,0.286,0.174,0.46,26,8,2,0,0,0,1,100.0,0,3,14.29,10.5,0.25,52.94,0,0.0,55.56,44.44,0.222,0.1,17,1,1,3,67,3.19,0,0.0,0,0.0,0.0,1,0,0
115,12,Kyle Turner,LumberJacks,12,32,29,3,10,5,4,1,0,7,1,2,8,0,0,0,0,0.345,0.406,0.552,0.958,12,12,3,0,0,1,1,0.0,0,11,37.93,14.5,0.222,65.38,6,5.88,41.18,52.94,0.353,0.1,20,4,3,10,102,3.517,1,3.45,2,6.9,0.0,0,0,0
116,21,Larson Scholtz,A's,14,37,27,8,9,4,3,1,1,12,3,7,9,0,0,5,0,0.333,0.514,0.63,1.143,21,9,2,0,0,1,0,100.0,0,10,41.67,4.8,0.833,66.67,2,8.33,41.67,50.0,0.417,0.333,9,1,3,9,87,3.625,1,4.17,4,16.67,0.0,0,0,0
117,10,Leo Asfar,LumberJacks,17,34,33,7,10,9,1,0,0,6,0,1,9,0,0,0,0,0.303,0.324,0.333,0.657,10,12,2,0,0,1,2,0.0,0,10,41.67,24.0,0.167,73.91,7,23.53,23.53,52.94,0.412,0.333,13,1,0,7,65,2.708,2,8.33,1,4.17,0.0,0,0,0
118,6,Logan Keller,Coyotes,16,46,34,12,6,4,1,1,0,5,6,5,8,0,1,13,0,0.176,0.37,0.265,0.634,6,11,2,0,1,1,6,100.0,1,17,50.0,8.5,0.8,79.17,6,5.0,35.0,55.0,0.25,0.091,21,3,1,7,144,4.235,8,23.53,9,26.47,0.0,0,0,0
119,20,Lucas Barnes,Bootleggers,16,45,37,7,10,7,2,0,1,9,2,6,11,0,0,1,0,0.27,0.4,0.405,0.805,20,11,3,0,0,0,0,100.0,0,14,50.0,9.3,0.375,68.0,8,35.29,35.29,29.41,0.438,0.25,19,3,3,13,105,3.75,4,14.29,5,17.86,25.0,1,0,0
120,25,Luke Culver,Coyotes,18,45,32,10,8,6,1,1,0,2,4,9,8,0,0,3,2,0.25,0.467,0.344,0.81,25,12,2,0,0,2,1,75.0,0,13,41.94,5.2,1.0,71.43,3,20.0,20.0,60.0,0.267,0.125,12,0,1,6,115,3.71,4,12.9,6,19.35,0.0,0,0,0
121,3,Mac Mcclleand,Chill,17,36,26,10,6,4,1,0,1,5,1,9,9,0,0,5,1,0.231,0.444,0.385,0.829,3,12,4,0,0,1,2,80.0,0,16,59.26,5.4,0.625,61.9,4,23.08,30.77,46.15,0.308,0.25,8,1,1,5,110,4.074,4,14.81,6,22.22,0.0,0,0,0
122,23,Marcus Burton,Rush,16,41,29,9,2,2,0,0,0,2,1,11,8,0,0,5,0,0.069,0.341,0.069,0.41,23,10,3,0,0,3,2,100.0,0,15,48.39,4.4,1.4,79.17,2,5.26,36.84,57.89,0.105,0.0,16,0,0,2,132,4.258,3,9.68,8,25.81,0.0,0,0,0
123,10,Marcus Sanders,A's,7,19,15,1,1,1,0,0,0,1,0,4,9,0,0,0,0,0.067,0.263,0.067,0.33,10,6,3,0,0,0,0,0.0,0,6,46.15,3.3,0.8,44.44,0,0.0,75.0,25.0,0.0,0.0,7,0,0,0,47,3.615,3,23.08,3,23.08,0.0,0,0,0
124,26,Mario Catalan,NorthStars,15,48,42,10,12,8,3,1,0,5,1,5,2,0,0,7,1,0.286,0.375,0.405,0.78,26,8,1,0,0,0,3,83.33,0,11,40.74,6.8,4.0,95.65,6,9.09,9.09,81.82,0.318,0.222,15,2,1,9,85,3.148,0,0.0,2,7.41,0.0,3,0,0
125,8,Mason Macias,Bombers,19,40,33,13,17,15,1,1,0,10,3,4,6,0,0,9,3,0.515,0.6,0.606,1.206,8,16,1,0,0,1,0,81.82,0,14,43.75,10.7,1.0,88.46,9,39.13,39.13,21.74,0.652,0.438,13,6,1,17,123,3.844,2,6.25,3,9.38,0.0,0,0,0
126,12,Mason Oliphant,Green Dragons,17,42,24,9,5,4,1,0,0,5,6,12,4,0,0,9,1,0.208,0.548,0.25,0.798,12,12,0,0,0,1,0,71.43,0,13,46.43,4.0,2.333,81.25,3,23.08,61.54,15.38,0.231,0.167,8,1,1,4,110,3.929,4,14.29,7,25.0,0.0,0,0,0
127,4,Matthew Singh,Bootleggers,15,38,34,1,8,7,1,0,0,5,1,3,5,0,0,0,0,0.235,0.316,0.265,0.58,4,11,2,0,0,0,1,0.0,1,9,33.33,13.5,0.5,83.33,5,25.0,55.0,20.0,0.25,0.444,14,1,0,5,93,3.444,1,3.7,2,7.41,0.0,3,0,0
128,17,Michael Raymond,Blue Sox,16,41,31,9,9,9,0,0,0,6,1,9,3,0,0,0,1,0.29,0.463,0.29,0.754,17,11,1,0,0,2,2,0.0,1,12,40.0,5.0,6.0,95.65,2,9.09,31.82,59.09,0.182,0.25,14,2,0,4,112,3.733,4,13.33,7,23.33,0.0,1,0,0
129,2,Nate Nunley,Coyotes,14,40,28,8,3,2,1,0,0,10,3,6,7,0,3,7,0,0.107,0.3,0.143,0.443,2,11,2,0,2,0,2,100.0,0,15,51.72,9.7,0.75,82.61,5,19.05,38.1,42.86,0.143,0.167,16,3,1,4,113,3.897,4,13.79,3,10.34,0.0,2,0,0
130,1,Nathan Aldaz,NorthStars,17,49,38,5,9,9,0,0,0,1,2,9,7,0,0,3,0,0.237,0.408,0.237,0.645,1,9,0,0,0,0,1,0.0,0,11,40.74,5.4,1.667,85.0,2,5.88,41.18,52.94,0.176,0.0,8,0,0,3,97,3.593,5,18.52,8,29.63,0.0,0,0,0
131,16,Nicholas Brownyard,Coyotes,8,19,16,5,5,5,0,0,0,1,0,3,4,0,0,1,1,0.312,0.421,0.312,0.734,16,3,1,0,0,0,1,0.0,1,4,44.44,4.5,2.0,85.71,1,0.0,50.0,50.0,0.333,1.0,2,0,0,2,36,4.0,2,22.22,3,33.33,0.0,0,0,0
132,12,Nicholas Ely,Coyotes,16,36,30,6,7,6,1,0,0,3,0,6,7,0,0,8,2,0.233,0.361,0.267,0.628,12,11,1,0,0,0,0,77.78,1,15,53.57,3.5,1.6,75.0,3,0.0,40.0,60.0,0.333,0.25,8,0,1,6,117,4.179,3,10.71,6,21.43,0.0,1,0,0
133,33,Nicholas Ochoa,Bombers,14,39,28,7,4,2,1,1,0,7,5,5,9,0,1,3,0,0.143,0.359,0.25,0.609,33,12,5,0,1,2,1,100.0,0,11,33.33,16.5,0.222,65.38,4,11.11,55.56,33.33,0.167,0.154,20,1,1,5,128,3.879,4,12.12,8,24.24,0.0,0,0,0
134,6,Nixon Collins-Brown,Chill,14,30,22,1,4,4,0,0,0,0,0,8,3,0,0,1,0,0.182,0.4,0.182,0.582,6,9,0,0,0,1,1,100.0,0,5,26.32,6.3,1.0,81.25,1,7.69,15.38,69.23,0.231,0.0,10,0,0,3,70,3.684,1,5.26,2,10.53,0.0,0,0,0
135,5,Noble Ortega,Blue Sox,11,25,22,0,6,6,0,0,0,3,0,2,2,0,1,0,0,0.273,0.32,0.273,0.593,5,9,0,0,1,1,0,0.0,0,10,45.45,22.0,1.0,95.0,5,20.0,45.0,35.0,0.3,0.5,8,2,0,6,88,4.0,1,4.55,3,13.64,0.0,0,0,0
136,4,Owen Powers,LumberJacks,20,47,30,20,6,2,4,0,0,4,12,5,9,0,0,4,1,0.2,0.489,0.333,0.823,4,16,2,0,0,4,0,80.0,0,18,45.0,10.0,0.571,73.08,3,5.26,52.63,36.84,0.263,0.333,15,0,3,8,160,4.0,5,12.5,10,25.0,0.0,0,0,0
137,7,Owen Boyce,Chill,15,37,33,11,10,9,1,0,0,3,0,3,10,0,1,5,0,0.303,0.351,0.333,0.685,7,10,1,0,1,2,0,100.0,1,12,50.0,8.0,0.6,75.0,4,12.5,31.25,56.25,0.438,0.25,9,1,1,8,84,3.5,4,16.67,4,16.67,0.0,1,0,0
138,13,Owen Fuoco,Coyotes,16,44,42,9,20,14,5,1,0,11,1,1,8,0,0,5,2,0.476,0.5,0.643,1.143,13,11,0,0,0,1,2,33.33,1,16,48.48,33.0,0.25,87.1,9,22.22,48.15,29.63,0.519,0.5,13,5,5,20,101,3.061,1,3.03,4,12.12,0.0,0,0,0
139,6,Parker Loureiro,Green Dragons,17,37,33,2,10,8,2,0,0,6,2,2,4,0,0,1,0,0.303,0.378,0.364,0.742,6,12,0,0,0,0,1,100.0,0,12,46.15,13.0,0.5,81.82,7,33.33,50.0,16.67,0.278,0.25,13,1,2,7,99,3.808,3,11.54,4,15.38,0.0,0,0,0
140,26,Payden Wysong,Coyotes,11,27,21,4,3,3,0,0,0,2,0,6,10,0,0,3,0,0.143,0.333,0.143,0.476,26,8,0,0,0,1,0,100.0,0,8,57.14,2.8,1.667,66.67,2,0.0,16.67,83.33,0.5,0.5,1,0,0,3,62,4.429,1,7.14,3,21.43,0.0,0,0,0
141,14,Preston Carrillo,Chill,16,36,26,2,4,4,0,0,0,3,1,9,9,0,0,1,0,0.154,0.389,0.154,0.543,14,11,3,0,0,2,0,100.0,0,11,45.83,4.8,1.25,77.78,3,7.14,28.57,50.0,0.143,0.167,11,1,0,2,96,4.0,3,12.5,6,25.0,0.0,0,0,0
142,11,Preston Winget,A's,17,47,36,7,18,13,5,0,0,8,3,8,5,0,0,10,1,0.5,0.617,0.639,1.256,11,12,2,0,0,1,0,83.33,2,15,45.45,8.3,1.333,88.89,8,25.0,33.33,41.67,0.417,0.333,12,1,2,12,111,3.364,3,9.09,6,18.18,0.0,2,0,0
143,7,Richard Reding,Bombers,17,30,19,9,4,3,1,0,0,1,4,7,11,0,0,8,1,0.211,0.5,0.263,0.763,7,15,5,0,0,1,1,90.0,0,12,46.15,4.3,0.6,37.5,2,33.33,16.67,50.0,0.5,0.2,11,0,0,3,106,4.077,4,15.38,6,23.08,0.0,0,0,0
144,33,Richie Amavizca,A's,15,48,38,11,17,14,1,1,1,6,6,4,8,0,0,4,0,0.447,0.562,0.605,1.168,33,12,3,0,0,0,1,100.0,1,14,38.89,12.0,0.5,78.57,7,18.18,45.45,36.36,0.524,0.545,15,1,3,18,129,3.583,4,11.11,5,13.89,28.0,0,0,0
145,2,Robbie Lopez,Bootleggers,15,40,36,6,11,9,0,0,2,10,0,4,4,0,0,3,0,0.306,0.375,0.472,0.847,2,12,0,0,0,0,2,100.0,1,9,31.03,14.5,0.667,88.89,6,4.17,41.67,54.17,0.182,0.2,14,1,2,12,101,3.483,0,0.0,1,3.45,13.5,0,0,0
146,22,Roman Robles,NorthStars,18,55,34,8,9,6,1,2,0,9,10,11,5,0,0,5,0,0.265,0.545,0.412,0.957,22,9,0,0,0,1,0,100.0,2,18,60.0,4.3,2.333,83.33,7,26.67,13.33,60.0,0.4,0.375,10,2,2,9,127,4.233,5,16.67,8,26.67,0.0,0,0,0
147,4,Ruben Leon,Rush,7,20,16,1,2,2,0,0,0,2,1,3,4,0,0,1,0,0.125,0.3,0.125,0.425,4,3,1,0,0,0,0,0.0,0,4,44.44,9.0,0.333,57.14,1,25.0,0.0,75.0,0.25,0.25,5,1,0,1,43,4.778,1,11.11,3,33.33,0.0,0,0,0
148,39,Sam Holling,NorthStars,7,16,14,3,3,2,1,0,0,3,1,1,5,0,0,0,0,0.214,0.312,0.286,0.598,39,2,0,0,0,0,0,0.0,0,1,50.0,2.0,0.0,100.0,0,0.0,100.0,0.0,0.0,0.0,1,0,0,0,8,4.0,0,0.0,1,50.0,0.0,0,0,0
149,19,Sawyer Ewert,Rush,9,21,16,3,2,0,1,1,0,2,1,4,9,0,0,0,0,0.125,0.333,0.312,0.646,19,5,1,0,0,1,0,0.0,0,4,30.77,6.5,0.333,40.0,0,0.0,75.0,25.0,0.25,0.167,9,2,1,3,55,4.231,1,7.69,3,23.08,0.0,0,0,0
150,10,Sawyer Stidham,Green Dragons,17,38,22,8,8,5,2,1,0,5,0,16,7,0,0,5,1,0.364,0.632,0.545,1.177,10,13,0,0,0,0,0,83.33,2,17,60.71,2.3,4.0,81.25,2,7.69,38.46,53.85,0.462,0.667,6,2,3,10,118,4.214,5,17.86,8,28.57,0.0,0,0,0
151,16,Seungmin Shin,Rush,13,34,24,6,3,3,0,0,0,3,3,7,7,0,0,4,0,0.125,0.382,0.125,0.507,16,8,2,0,0,2,0,100.0,0,7,30.43,7.7,0.75,76.47,3,15.38,30.77,53.85,0.154,0.286,10,1,0,2,73,3.174,1,4.35,3,13.04,0.0,0,0,0
152,16,Stevie Murata,Blue Sox,19,47,35,15,12,11,1,0,0,7,4,7,5,0,1,5,0,0.343,0.489,0.371,0.861,16,14,0,0,0,1,1,100.0,0,16,51.61,6.2,1.25,81.82,5,16.67,27.78,55.56,0.389,0.143,21,1,1,8,121,3.903,5,16.13,8,25.81,0.0,0,0,0
153,9,Taylor Claman,Chill,18,42,26,2,3,2,1,0,0,4,5,11,14,0,0,0,0,0.115,0.452,0.154,0.606,9,13,2,0,0,0,0,0.0,1,19,63.33,3.3,1.0,47.06,2,25.0,37.5,37.5,0.25,0.125,11,0,1,3,131,4.367,6,20.0,12,40.0,0.0,0,0,0
154,24,Trey Willis,Bootleggers,9,22,20,6,7,5,2,0,0,2,0,2,1,0,0,2,0,0.35,0.409,0.45,0.859,24,8,0,0,1,0,0,100.0,1,8,53.33,15.0,0.0,100.0,5,28.57,35.71,35.71,0.286,0.5,5,0,1,5,50,3.333,2,13.33,2,13.33,0.0,0,0,0
155,5,Trine Schmidthuber,Rush,13,35,25,6,5,4,1,0,0,3,1,7,9,0,2,4,0,0.2,0.371,0.24,0.611,5,9,4,0,2,0,0,100.0,0,12,54.55,4.4,0.833,57.14,2,10.0,60.0,30.0,0.3,0.25,8,0,0,3,92,4.182,4,18.18,6,27.27,0.0,1,0,0
156,34,Ty Farwell,A's,17,47,39,11,12,11,1,0,0,9,5,3,5,0,0,4,0,0.308,0.426,0.333,0.759,34,12,0,0,0,4,1,100.0,0,13,37.14,17.5,0.667,90.0,7,18.52,37.04,44.44,0.222,0.263,22,2,0,6,105,3.0,2,5.71,4,11.43,0.0,1,0,0
157,11,Ty Phipps,Green Dragons,6,9,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,11,4,2,0,0,0,1,0.0,0,3,42.86,0.0,0.0,57.14,1,0.0,50.0,50.0,0.0,0.0,6,0,0,0,27,3.857,0,0.0,2,28.57,0.0,0,0,0
158,25,Ty Potts,A's,17,45,35,6,12,12,0,0,0,5,3,7,4,0,0,1,0,0.343,0.489,0.343,0.832,25,11,0,0,0,2,1,100.0,0,13,43.33,6.0,2.5,90.91,5,20.0,10.0,70.0,0.25,0.333,7,1,0,5,127,4.233,4,13.33,8,26.67,0.0,0,0,0
159,11,Tyler Harries,Coyotes,16,45,39,8,12,8,4,0,0,6,2,3,5,0,1,2,0,0.308,0.378,0.41,0.788,11,11,1,0,1,0,1,100.0,1,17,53.13,10.7,0.75,84.62,9,30.43,34.78,34.78,0.435,0.444,15,3,3,13,118,3.688,5,15.63,5,15.63,0.0,1,0,0
160,24,Tyler Marr,Bombers,13,34,29,3,10,9,1,0,0,3,0,5,3,0,0,3,0,0.345,0.441,0.379,0.82,24,10,1,0,0,4,0,100.0,0,12,50.0,6.0,2.0,90.0,5,27.78,16.67,55.56,0.333,0.333,7,1,1,7,89,3.708,2,8.33,4,16.67,0.0,1,0,0
161,20,Tyler Nelson,Blue Sox,15,37,26,6,7,5,2,0,0,1,1,10,8,0,0,1,0,0.269,0.486,0.346,0.833,20,11,4,0,0,0,0,0.0,0,18,64.29,4.7,0.857,66.67,5,14.29,50.0,35.71,0.5,0.333,11,0,2,9,126,4.5,4,14.29,8,28.57,0.0,0,0,0
162,31,William Sanchez,A's,18,48,41,12,20,17,3,0,0,10,2,4,9,0,1,9,0,0.488,0.542,0.561,1.103,31,11,1,0,0,0,1,100.0,0,11,39.29,9.3,0.6,80.0,4,15.0,30.0,55.0,0.45,0.444,12,2,1,10,110,3.929,4,14.29,7,25.0,0.0,1,0,0
163,1,Xavier Bejerano,Green Dragons,17,29,23,5,4,4,0,0,0,3,1,4,5,0,1,7,1,0.174,0.31,0.174,0.484,1,14,1,0,1,0,0,83.33,0,11,52.38,7.0,0.75,75.0,4,30.77,38.46,30.77,0.231,0.125,11,1,0,3,92,4.381,1,4.76,5,23.81,0.0,0,0,0
164,8,Zach Edwards,Bootleggers,15,42,28,9,9,7,1,1,0,5,2,12,12,0,0,1,2,0.321,0.548,0.429,0.976,8,12,3,0,0,0,0,0.0,0,16,50.0,3.2,1.111,59.09,3,7.69,46.15,46.15,0.538,0.5,9,4,2,10,146,4.563,6,18.75,10,31.25,0.0,0,0,0
165,31,Zach Gervais,Bombers,13,28,26,1,5,3,2,0,0,3,2,0,15,0,0,0,1,0.192,0.25,0.269,0.519,31,11,2,0,0,1,0,0.0,0,9,36.0,0.0,0.0,43.48,2,10.0,60.0,30.0,0.4,0.375,14,2,2,6,89,3.56,4,16.0,4,16.0,0.0,0,0,0
