,No,Name,Team,G,GS_x,CG,SHO,W_x,L_x,SV_x,SVO_x,INN,BF_x,H_x,R_x,ER_x,HR_x,HBP_x,BB_x,IBB,SO_x,SacF,BK_x,PC,WHIP_x,WP_x,OBA,ERA_x,Number,IP,GP,#P,BS,SV%,K-L,LOB,PIK,CS,SB,SB%,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,LD%,FB%,GB%,BABIP,BA/RISP
0,20,Abel Martinez,Chill,5,0,0,0,0,0,0,0,7.2,19,13,11,10,0,0,5,0,4,1,0,53,2.35,0.0,1.0,11.74,20,4.0,3,78,0,0,0,6,0,0,3,100.0,0.417,19.5,3.0,65.38,2,0,0,1,3.48,66.67,61.54,56.25,6.25,37.5,0.5,2,2,1,1,15.38,0.077,1.0,68.18,31.82,0.667,31.82,40.91,27.27,0.455,0.4
1,1,Aidan Arriaga,Blue Sox,1,0,0,0,0,0,0,0,1.0,5,1,1,1,0,0,1,0,1,0,0,24,2.0,0.0,0.25,9.0,1,1.0,1,24,0,0,1,1,0,0,3,100.0,0.25,24.0,4.8,20.0,0,0,0,0,3.76,45.83,40.0,50.0,50.0,0.0,1.0,0,0,0,0,4.17,0.2,1.0,100.0,0.0,0.0,0.0,66.67,33.33,0.333,0.0
2,6,Aidan Salazar,Bootleggers,4,0,0,0,1,1,0,0,6.1,29,11,7,2,0,1,3,0,4,0,0,92,2.26,2.0,0.44,2.9,6,4.2,3,92,0,0,1,6,0,1,2,66.67,0.375,19.7,3.172,51.72,2,0,0,1,4.115,58.7,68.97,50.0,10.0,35.0,0.643,3,1,0,0,8.7,0.103,1.0,72.73,27.27,0.8,18.18,31.82,47.62,0.429,0.308
3,24,Alec Correa,Green Dragons,1,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,1,0,0,0,0,11,3.0,0.0,0.0,0.0,24,0.1,1,11,0,0,0,0,0,0,0,0.0,0.0,33.0,5.5,0.0,0,0,0,0,10.97,36.36,50.0,0.0,100.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
4,14,Alejandro Espinoza,Bombers,8,5,0,0,3,2,0,0,32.2,91,29,19,13,0,5,17,0,28,0,1,345,1.41,5.0,0.42,3.58,14,22.0,5,360,0,0,5,20,0,3,6,66.67,0.222,16.4,3.711,42.27,17,11,5,7,3.238,58.33,58.76,61.4,12.28,19.3,0.545,12,2,1,1,13.33,0.206,1.667,73.77,26.23,2.0,18.03,18.03,63.93,0.295,0.211
5,5,Alex Hagan,A's,1,0,0,0,0,0,0,0,1.0,5,1,0,0,0,0,2,0,1,0,0,25,3.0,0.0,0.333,0.0,5,1.0,1,25,0,0,0,2,0,0,0,0.0,0.333,25.0,5.0,20.0,0,0,0,0,6.35,48.0,60.0,66.67,33.33,0.0,2.0,0,0,1,0,8.0,0.2,0.5,0.0,100.0,0.0,0.0,0.0,100.0,0.5,0.0
6,28,Alex Ogletree,Bombers,1,0,0,0,1,0,0,0,2.1,9,2,1,0,0,0,0,0,3,0,0,39,0.86,0.0,0.222,0.0,28,2.1,1,39,0,0,2,3,0,0,0,0.0,0.222,16.7,4.333,0.0,2,1,1,1,0.59,71.79,77.78,71.43,0.0,28.57,0.0,2,0,0,0,15.38,0.333,0.0,83.33,16.67,0.5,16.67,50.0,33.33,0.333,0.333
7,19,Alexander Johnson,Green Dragons,5,1,0,0,1,2,2,3,5.0,23,3,5,0,0,0,4,0,5,0,0,78,1.4,2.0,0.158,0.0,19,2.0,3,25,1,50,0,0,0,0,0,0.0,0.286,12.5,3.125,62.5,2,1,1,2,2.465,60.0,50.0,75.0,0.0,25.0,0.5,1,0,0,0,12.0,0.25,2.0,60.0,40.0,2.0,20.0,20.0,60.0,0.4,0.5
8,19,Andres Pasillas,Coyotes,5,4,0,0,2,0,0,0,22.0,49,19,12,11,0,2,14,0,28,0,0,189,1.5,2.0,0.576,4.5,19,11.0,2,189,0,0,3,11,0,1,3,75.0,0.184,17.2,3.857,38.78,7,6,2,2,3.575,57.67,51.02,76.0,4.0,16.0,0.818,3,2,3,2,12.7,0.245,1.333,76.92,23.08,1.0,15.38,38.46,46.15,0.269,0.231
9,14,Andrew Cheripka,NorthStars,10,2,1,0,2,0,0,0,21.1,66,16,8,6,0,2,17,0,18,0,0,264,1.56,2.0,0.34,2.55,14,13.2,5,222,0,0,7,13,0,2,2,50.0,0.25,16.2,3.828,43.1,5,2,1,4,3.313,58.11,56.9,57.58,9.09,27.27,0.585,7,2,2,1,11.26,0.207,1.5,80.56,19.44,0.615,5.56,44.44,50.0,0.333,0.133
10,31,Anthony Sillas,Coyotes,1,1,0,0,1,0,0,0,5.0,19,2,2,2,0,0,2,0,4,0,0,82,0.8,0.0,0.118,3.6,31,11.0,3,183,0,0,4,8,0,0,4,100.0,0.105,16.6,4.256,34.88,10,7,6,3,1.794,60.66,48.84,85.71,0.0,9.52,0.364,9,2,1,1,18.58,0.326,3.5,62.5,37.5,0.583,16.67,45.83,37.5,0.167,0.0
11,28,Augie Cowan,Rush,8,0,0,0,0,0,0,0,11.1,39,10,8,6,0,1,5,0,7,0,0,155,1.32,1.0,0.303,4.76,28,8.1,6,166,0,0,0,8,0,0,7,100.0,0.257,19.9,4.049,29.27,5,4,1,1,3.712,57.83,51.22,80.95,0.0,19.05,0.36,6,2,0,0,9.64,0.073,1.0,76.47,23.53,0.667,8.82,38.24,52.94,0.265,0.333
12,1,Binyam Gebhardt,LumberJacks,5,2,0,0,2,1,0,0,11.2,43,11,6,3,0,1,6,0,12,0,0,168,1.47,0.0,0.306,2.34,1,9.1,4,168,0,0,3,9,0,2,2,50.0,0.314,18.0,3.907,32.56,5,3,0,2,2.75,57.74,60.47,65.38,7.69,23.08,0.643,5,2,2,1,13.1,0.256,1.833,68.0,32.0,1.167,20.0,32.0,48.0,0.44,0.286
13,8,Blake Nelson,Rush,1,1,0,0,0,1,0,0,2.0,14,2,4,3,1,4,1,0,1,0,0,53,1.5,2.0,0.222,13.5,8,2.0,1,53,0,0,0,3,0,1,1,50.0,0.222,26.5,3.786,35.71,1,0,0,0,13.7,43.4,35.71,80.0,0.0,20.0,0.5,1,1,0,0,5.66,0.071,1.0,75.0,25.0,0.333,12.5,50.0,37.5,0.143,0.25
14,17,Bowen Sanford,Green Dragons,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,17,0.2,1,7,0,0,0,2,0,0,0,0.0,0.0,10.5,3.5,50.0,0,0,0,0,3.2,71.43,50.0,100.0,0.0,0.0,0.0,0,0,0,0,14.29,0.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0
15,24,Braden Turner,LumberJacks,5,4,0,0,5,0,0,0,25.0,99,24,8,7,0,1,2,0,29,0,0,336,1.04,0.0,0.25,2.52,24,20.0,4,268,0,0,10,13,1,1,2,66.67,0.25,13.4,3.392,51.9,14,12,7,13,1.051,72.39,70.89,75.0,1.79,23.21,0.1,19,1,0,0,18.28,0.316,12.5,68.63,31.37,1.333,23.53,19.61,56.0,0.373,0.333
16,9,Braden Winget,A's,2,0,0,0,0,0,0,0,2.0,11,1,1,0,0,0,2,0,3,0,0,42,1.5,0.0,0.111,0.0,9,2.0,2,42,0,0,1,4,0,0,2,100.0,0.111,21.0,3.818,45.45,1,0,0,0,2.745,59.52,63.64,71.43,14.29,14.29,1.0,0,1,1,1,11.9,0.273,1.5,100.0,0.0,2.0,0.0,33.33,66.67,0.167,0.0
17,14,Bradley Morris,Green Dragons,2,0,0,0,0,0,0,0,2.0,9,5,3,3,0,0,0,0,0,0,0,32,2.5,0.0,0.556,13.5,14,2.0,2,32,0,0,0,3,0,0,0,0.0,0.556,16.0,3.556,44.44,0,0,0,0,3.2,75.0,77.78,42.86,0.0,57.14,0.0,0,0,0,0,0.0,0.0,0.0,88.89,11.11,3.0,11.11,22.22,66.67,0.556,0.5
18,25,Brian O'Connell III,Green Dragons,2,0,0,0,0,0,0,0,1.1,8,3,0,0,0,0,0,0,3,0,0,13,2.5,0.0,0.375,0.0,25,0.2,1,13,0,0,0,2,0,0,0,0.0,0.667,19.5,3.25,50.0,0,0,0,0,0.155,76.92,75.0,66.67,0.0,33.33,0.0,1,0,0,0,23.08,0.25,0.0,66.67,33.33,0.0,33.33,66.67,0.0,0.667,0.5
19,9,Caden Stillwell,LumberJacks,8,2,0,0,2,0,1,1,28.1,123,22,12,9,0,6,12,0,24,0,0,450,1.21,5.0,0.21,2.87,9,27.2,7,429,0,100,7,25,1,3,10,76.92,0.212,15.5,3.605,46.22,20,9,6,11,3.271,58.28,66.39,70.89,7.59,17.72,0.434,16,1,3,0,8.86,0.185,1.833,77.22,22.78,0.417,18.99,45.57,35.44,0.266,0.214
20,24,Callum Montgomery,A's,5,4,0,0,3,0,0,0,24.2,68,22,13,7,0,2,8,0,14,0,0,259,1.21,0.0,0.379,2.53,24,15.2,3,259,0,0,1,11,0,1,1,50.0,0.226,16.5,3.809,42.65,12,10,6,5,2.896,61.78,55.88,76.32,5.26,18.42,0.319,11,3,0,0,11.2,0.147,2.0,71.15,28.85,0.417,19.23,44.23,35.29,0.269,0.3
21,10,Cameron Kundig,Green Dragons,5,3,0,0,2,0,0,0,19.1,82,13,9,4,0,2,6,0,19,0,0,299,0.98,2.0,0.176,1.86,10,16.0,4,257,0,0,3,13,1,0,3,100.0,0.188,16.1,3.62,50.7,10,4,2,7,2.557,64.59,56.34,80.0,7.5,10.0,0.375,10,3,3,2,10.89,0.197,2.333,80.0,20.0,1.636,18.0,22.0,60.0,0.24,0.273
22,9,Cesar Ortega,Blue Sox,1,0,0,0,0,0,0,0,2.0,9,1,0,0,0,0,3,0,2,0,0,45,2.0,0.0,0.167,0.0,9,2.0,1,45,0,0,0,3,0,1,2,66.67,0.167,22.5,5.0,22.22,1,1,1,1,5.055,53.33,77.78,71.43,14.29,14.29,1.5,1,0,1,0,11.11,0.222,0.667,50.0,50.0,0.5,0.0,50.0,50.0,0.25,0.0
23,21,Chance Clayman,Chill,1,0,0,0,0,0,0,0,1.0,6,2,0,0,0,0,1,0,0,0,0,13,3.0,0.0,0.4,0.0,21,1.0,1,13,0,0,0,3,0,0,0,0.0,0.4,13.0,2.167,83.33,1,1,0,1,5.79,61.54,100.0,50.0,16.67,33.33,1.0,0,0,0,0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,60.0,40.0,0.4,0.5
24,15,Chris Aguilar,Chill,3,0,0,0,0,0,0,0,1.1,15,4,10,2,0,3,3,0,2,0,0,65,5.83,2.0,0.444,15.0,15,1.2,3,65,0,0,0,1,0,0,2,100.0,0.444,39.0,4.333,33.33,1,0,0,0,10.09,46.15,60.0,44.44,11.11,33.33,1.8,0,3,1,1,7.69,0.133,0.667,42.86,57.14,0.0,57.14,14.29,28.57,0.571,0.5
25,22,Cipriano Rivera,A's,7,0,0,0,1,0,0,0,12.0,44,13,7,3,0,0,8,0,16,0,0,171,1.75,1.0,0.361,2.25,22,8.0,5,132,0,0,6,6,0,1,2,66.67,0.259,16.5,3.882,38.24,4,4,3,5,2.675,56.82,44.12,73.33,0.0,26.67,0.875,5,0,0,0,13.64,0.324,1.571,62.5,37.5,0.6,18.75,37.5,43.75,0.438,0.125
26,11,Cody Baylor,Bootleggers,3,0,0,0,0,1,0,0,4.0,12,1,4,4,0,4,3,0,1,0,0,41,1.0,2.0,0.2,9.0,11,2.0,2,41,0,0,0,2,0,0,1,100.0,0.167,20.5,3.417,50.0,0,0,0,1,8.66,53.66,58.33,57.14,0.0,14.29,1.0,0,1,0,0,7.32,0.083,0.5,100.0,0.0,0.0,0.0,83.33,16.67,0.167,0.0
27,25,Colten Reese,Rush,3,0,0,0,0,1,0,0,2.1,11,6,9,8,2,2,4,0,2,0,0,43,4.29,1.0,0.0,30.86,25,2.1,3,76,0,0,1,2,0,0,3,100.0,0.5,32.6,4.222,33.33,1,1,0,0,16.76,46.05,50.0,44.44,11.11,22.22,1.714,1,3,1,1,9.21,0.111,0.5,70.0,30.0,0.0,10.0,20.0,70.0,0.5,0.667
28,3,Connor Frye,Blue Sox,3,0,0,0,0,0,0,0,3.0,11,1,1,1,0,2,1,0,2,0,0,41,0.67,0.0,0.125,3.0,3,3.0,3,41,0,0,1,1,1,0,0,0.0,0.125,13.7,3.727,36.36,3,1,1,1,4.437,53.66,27.27,100.0,0.0,0.0,0.333,2,0,0,0,4.88,0.182,2.0,83.33,16.67,0.333,16.67,66.67,16.67,0.167,0.5
29,22,Cristian Garcia,LumberJacks,5,1,0,0,2,0,0,0,8.2,31,7,5,4,0,3,7,0,13,0,0,107,1.6,1.0,0.333,4.11,22,5.0,3,76,0,0,2,5,0,0,2,100.0,0.118,15.2,3.455,45.45,4,3,3,3,3.354,57.89,31.82,71.43,0.0,14.29,0.8,3,0,1,0,10.53,0.273,1.5,90.91,9.09,3.5,0.0,18.18,81.82,0.182,0.2
30,5,Dalton Irwin,Bombers,7,0,0,0,0,0,0,1,9.2,36,24,20,15,0,0,7,0,13,0,0,132,3.17,2.0,0.828,13.82,5,8.2,6,179,0,0,3,7,0,2,4,66.67,0.467,20.7,3.58,44.0,5,2,1,2,2.586,60.34,64.0,43.75,6.25,50.0,0.577,5,2,0,0,7.82,0.18,1.8,77.78,22.22,5.5,13.89,33.33,52.78,0.583,0.5
31,18,Daniel Vendyl,Bombers,6,0,0,0,0,0,0,0,4.2,11,2,2,2,0,5,4,0,9,1,0,49,1.26,1.0,0.0,3.78,18,4.1,5,101,0,0,4,9,0,0,4,100.0,0.071,23.3,4.591,18.18,1,1,0,0,4.234,51.49,50.0,63.64,9.09,9.09,0.923,3,0,1,0,9.9,0.364,2.0,66.67,33.33,0.25,33.33,50.0,16.67,0.167,0.1
32,20,Devin Mauter,Rush,6,3,0,0,1,2,0,0,17.1,65,17,20,13,0,0,17,0,6,0,0,225,1.95,3.0,0.354,6.71,20,9.1,3,163,0,0,0,12,0,0,2,100.0,0.188,17.5,3.622,44.44,5,3,3,5,5.877,49.08,44.44,55.0,25.0,20.0,1.286,4,4,3,2,6.75,0.067,0.25,90.0,10.0,0.769,3.33,50.0,46.67,0.2,0.214
33,1,Dillon Damico,Bootleggers,8,0,0,0,0,0,0,0,16.2,62,13,9,5,0,3,8,0,22,0,0,259,1.26,0.0,0.255,2.7,1,13.2,6,243,0,0,2,14,1,1,5,83.33,0.224,17.8,4.119,37.29,8,2,2,2,2.678,62.55,59.32,80.0,2.86,17.14,0.659,6,2,1,0,13.17,0.254,1.667,74.29,25.71,0.538,17.14,51.43,31.43,0.314,0.174
34,18,Drew Griffin,LumberJacks,1,0,0,0,0,0,0,0,1.0,4,1,0,0,0,0,1,0,2,0,0,17,2.0,1.0,0.333,0.0,18,1.0,1,17,0,0,0,1,0,1,2,66.67,0.333,17.0,4.25,50.0,0,0,0,0,1.73,52.94,50.0,100.0,0.0,0.0,1.0,0,0,1,0,17.65,0.5,2.0,0.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0
35,13,Dylan Garcia,Bombers,4,0,0,0,0,0,0,0,6.2,49,12,17,11,0,6,3,0,5,0,1,171,2.22,0.0,0.3,14.63,13,9.2,4,185,0,0,2,9,0,1,2,66.67,0.3,19.1,3.491,49.06,5,3,1,3,5.097,57.84,58.49,51.61,6.45,22.58,0.414,6,2,0,0,7.03,0.094,1.25,64.86,35.14,0.5,21.62,37.84,40.54,0.324,0.278
36,22,Elliot Johnstone,Green Dragons,6,4,0,0,0,0,0,0,14.1,77,24,19,14,1,2,14,0,9,0,0,229,2.63,0.0,0.393,8.73,22,8.1,3,198,0,0,2,10,1,0,11,100.0,0.4,23.8,3.96,38.0,6,4,2,2,6.056,53.03,50.0,48.0,12.0,40.0,1.08,4,5,2,2,4.04,0.12,0.667,67.65,32.35,0.308,23.53,44.12,32.35,0.455,0.353
37,19,Ethan Hopkins,NorthStars,4,4,0,0,0,1,0,0,14.1,63,19,11,9,0,4,11,0,7,0,0,238,2.11,1.0,0.396,5.7,19,3.2,1,65,0,0,0,4,0,0,1,100.0,0.267,17.7,3.824,47.06,3,0,0,1,4.613,56.92,70.59,66.67,8.33,25.0,0.545,3,1,0,0,3.08,0.0,0.0,80.0,20.0,0.125,6.67,53.33,40.0,0.267,0.0
38,24,Ethan Jackson,Chill,2,1,0,0,0,0,0,0,2.0,5,0,2,2,0,0,4,0,2,0,0,20,2.0,1.0,0.0,9.0,24,1.0,1,20,0,0,0,0,0,0,2,100.0,0.0,20.0,4.0,20.0,0,0,0,0,8.94,30.0,40.0,100.0,0.0,0.0,3.0,0,2,1,1,10.0,0.2,0.333,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
39,12,Ethan Neuner,Bootleggers,8,0,0,0,0,2,0,0,6.1,51,12,32,26,0,13,27,0,4,0,0,245,6.06,4.0,0.0,36.37,12,4.2,6,213,0,0,1,7,0,0,10,100.0,0.476,45.6,4.176,19.61,2,0,0,0,17.99,38.97,35.29,16.67,27.78,38.89,3.429,0,12,3,3,4.69,0.059,0.188,78.95,21.05,0.6,15.79,47.37,36.84,0.526,0.526
40,26,Gavin McPeek,Bombers,1,0,0,0,0,0,0,0,0.1,3,1,0,0,0,0,0,0,1,0,0,7,5.0,0.0,0.333,0.0,26,0.2,1,7,0,0,0,2,0,0,0,0.0,0.333,10.5,2.333,66.67,0,0,0,0,0.155,71.43,66.67,50.0,0.0,50.0,0.0,0,0,0,0,42.86,0.333,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.5,0.0
41,23,Gavin Partch,Blue Sox,5,2,0,0,1,1,0,0,13.1,58,13,7,2,0,2,3,0,9,0,0,180,1.22,0.0,0.245,1.37,23,13.1,6,180,0,0,2,13,0,0,2,100.0,0.245,13.5,3.103,56.9,8,4,4,9,2.801,70.56,81.03,68.09,4.26,23.4,0.225,10,2,1,1,12.22,0.155,3.0,81.82,18.18,0.929,9.09,38.64,52.27,0.295,0.222
42,11,Griffin Binkley,A's,4,0,0,0,0,1,0,0,4.2,16,6,6,5,0,2,6,0,7,0,0,66,2.57,3.0,0.75,9.64,11,1.0,1,15,0,0,1,0,0,0,0,0.0,0.0,15.0,5.0,33.33,1,1,1,0,1.17,73.33,33.33,100.0,0.0,0.0,0.0,1,0,0,0,6.67,0.333,0.0,50.0,50.0,1.0,0.0,50.0,50.0,0.0,0.0
43,2,Hayata Lee,Green Dragons,7,2,0,0,1,1,1,1,16.2,77,16,17,14,1,7,9,0,12,0,0,248,1.51,1.0,0.262,7.62,2,11.0,5,199,0,100,3,9,0,1,6,85.71,0.292,18.1,3.21,48.39,8,3,1,4,5.936,59.8,61.29,65.79,5.26,26.32,0.636,6,4,1,1,10.55,0.129,1.143,67.5,32.5,1.0,17.5,35.0,47.5,0.333,0.261
44,6,Hyatt Utzman,NorthStars,3,3,0,0,1,1,0,0,7.0,6,6,4,3,0,1,2,0,11,0,0,20,1.14,0.0,0.0,3.86,6,1.0,1,20,0,0,0,1,0,0,0,0.0,0.667,20.0,3.333,50.0,0,0,0,0,3.2,70.0,66.67,50.0,0.0,50.0,0.0,1,0,0,0,0.0,0.0,0.0,83.33,16.67,0.0,16.67,16.67,66.67,0.667,0.5
45,13,Isaac Manaugh,Rush,5,3,0,0,2,1,0,0,14.1,80,15,15,7,0,5,17,0,14,0,0,316,2.23,0.0,0.259,4.4,13,13.1,4,316,0,0,4,22,1,1,10,90.91,0.268,23.7,3.95,37.5,8,4,1,0,5.494,53.8,55.0,52.27,6.82,34.09,1.275,6,2,1,0,10.76,0.163,0.765,73.33,26.67,0.692,20.0,35.56,44.44,0.333,0.2
46,14,Isaiah Nunez,Coyotes,5,1,0,0,0,2,0,1,4.1,38,14,16,13,0,1,12,0,8,0,0,157,5.86,1.0,0.56,26.39,14,7.0,4,185,1,0,3,5,0,1,8,88.89,0.412,26.4,4.111,37.78,3,1,1,2,4.95,54.59,51.11,52.17,17.39,26.09,1.429,4,9,3,3,8.11,0.178,0.8,61.54,38.46,0.375,19.23,42.31,38.46,0.538,0.467
47,16,Issac Talavera,Bootleggers,6,2,0,0,0,0,0,0,14.1,68,14,27,25,1,4,26,0,20,0,0,312,2.79,7.0,0.368,15.7,16,11.1,4,271,0,0,8,15,0,1,7,87.5,0.125,23.9,3.985,20.59,8,4,2,2,6.325,47.23,45.59,58.06,16.13,16.13,1.676,3,7,2,1,8.86,0.25,0.895,58.33,41.67,0.667,16.67,29.17,54.17,0.208,0.25
48,17,Jace Dominic,Bootleggers,7,5,0,0,0,3,0,0,18.2,77,17,16,14,0,6,9,0,19,0,0,302,1.39,1.0,0.274,6.75,17,15.2,6,302,0,0,6,14,0,0,5,100.0,0.274,19.3,3.922,37.66,9,7,6,5,3.571,60.26,61.04,74.47,6.38,14.89,0.574,9,5,1,1,10.26,0.195,1.667,70.83,29.17,1.6,22.92,20.83,55.32,0.362,0.4
49,21,Jack Weakland,Blue Sox,7,3,0,0,1,3,0,0,13.2,65,18,18,12,0,5,7,0,13,0,0,161,1.82,0.0,0.34,7.85,21,8.1,5,161,0,0,6,6,0,0,1,100.0,0.325,19.3,3.22,56.0,6,3,3,5,4.116,63.35,58.0,58.62,0.0,34.48,0.72,6,3,1,1,7.45,0.18,1.5,77.42,22.58,1.8,19.35,32.26,48.39,0.419,0.563
50,22,Jackson Toms,Coyotes,7,2,0,0,1,2,1,0,13.2,56,12,15,9,0,7,12,0,13,0,0,233,1.75,2.0,0.324,5.9,22,9.2,5,207,0,100,3,5,3,0,3,100.0,0.297,21.4,4.14,28.0,6,4,0,2,4.735,54.11,42.0,66.67,0.0,19.05,0.828,5,5,1,1,6.76,0.16,1.0,80.0,20.0,0.364,10.0,46.67,43.33,0.367,0.267
51,14,Jaden Pickowitz,LumberJacks,1,0,0,0,0,0,0,0,1.0,6,2,3,3,1,0,1,0,0,0,0,25,3.0,0.0,0.4,27.0,14,1.0,1,25,0,0,0,0,0,0,1,100.0,0.4,25.0,4.167,66.67,1,0,0,0,15.87,56.0,50.0,66.67,0.0,33.33,1.0,0,1,0,0,4.0,0.0,0.0,60.0,40.0,2.0,20.0,40.0,40.0,0.25,1.0
52,23,Jake Hiner,A's,1,0,0,0,0,0,0,0,1.1,8,2,1,1,0,0,3,0,2,0,1,34,4.55,1.0,0.4,8.18,23,1.1,1,34,0,0,0,2,0,0,3,100.0,0.4,25.5,4.25,37.5,0,0,0,0,5.982,44.12,50.0,75.0,25.0,0.0,2.25,0,1,0,0,14.71,0.25,0.667,66.67,33.33,0.0,33.33,66.67,0.0,0.667,0.0
53,38,Jake Matise,NorthStars,9,2,0,0,0,2,0,1,15.0,37,16,8,5,0,2,2,0,11,0,0,139,1.2,0.0,0.485,3.0,38,6.0,3,82,0,0,2,2,1,1,1,50.0,0.158,13.7,3.727,40.91,4,3,1,3,2.71,58.54,54.55,66.67,0.0,16.67,0.167,5,0,0,0,8.54,0.182,4.0,81.25,18.75,0.222,18.75,56.25,25.0,0.188,0.0
54,16,James Catherine,Bombers,9,6,0,0,3,2,0,0,31.1,96,21,18,14,0,9,26,0,41,0,1,385,1.51,2.0,0.344,4.05,16,25.2,6,494,0,0,5,24,1,4,14,77.78,0.23,19.2,4.186,29.66,14,7,4,4,3.574,56.28,51.69,60.66,9.84,18.03,0.818,10,5,9,3,14.17,0.263,1.476,67.24,32.76,0.762,22.41,32.76,43.86,0.345,0.206
